moeda,valor,data,hora
Dólar Taiuanês,0.16,26/03/2024,20:13:26
Zlóti Polonês,1.25,26/03/2024,20:13:32
Dólar Taiuanês,0.16,26/03/2024,20:13:37
Bolívar Venezuelano,0.14,26/03/2024,20:13:43
Peso Mexicano,0.30,26/03/2024,20:13:49
Coroa Norueguesa,0.46,26/03/2024,20:13:55
Iene Japonês,0.03,26/03/2024,20:14:01
Peso Colombiano,0.00,26/03/2024,20:14:07
Dólar Taiuanês,0.16,26/03/2024,20:14:14
Novo Shekel Israelense,1.36,26/03/2024,20:14:20
Dólar Americano,4.98,26/03/2024,20:14:25
XRP,3.17,26/03/2024,20:14:31
Nova Lira Turca,0.15,26/03/2024,20:14:37
Bitcoin,351599.00,26/03/2024,20:14:43
Bitcoin,351599.00,26/03/2024,20:14:49
Peso Chileno,0.01,26/03/2024,20:14:54
Sol do Peru,1.34,26/03/2024,20:15:00
Sol do Peru,1.34,26/03/2024,20:15:06
Boliviano,0.72,26/03/2024,20:15:12
Dólar Neozelandês,2.99,26/03/2024,20:15:18
Rublo Russo,0.05,26/03/2024,20:15:25
Dólar Neozelandês,2.99,26/03/2024,20:15:30
Dólar de Hong Kong,0.64,26/03/2024,20:15:36
Peso Chileno,0.01,26/03/2024,20:15:42
Dólar Taiuanês,0.16,26/03/2024,20:15:48
XRP,3.17,26/03/2024,20:15:54
Guarani Paraguaio,0.00,26/03/2024,20:15:59
Rublo Russo,0.05,26/03/2024,20:16:05
Baht Tailandês,0.14,26/03/2024,20:16:11
Dólar Taiuanês,0.16,26/03/2024,20:16:16
Yuan Chinês,0.69,26/03/2024,20:16:22
Peso Uruguaio,0.13,26/03/2024,20:16:28
Dólar de Cingapura,3.70,26/03/2024,20:16:34
Dólar Americano,4.98,26/03/2024,20:16:40
Dólar de Hong Kong,0.64,26/03/2024,20:16:46
Litecoin,481.10,26/03/2024,20:16:52
Peso Uruguaio,0.13,26/03/2024,20:16:58
Coroa Sueca,0.47,26/03/2024,20:17:04
Franco Suíço,5.51,26/03/2024,20:17:10
Sol do Peru,1.34,26/03/2024,20:17:16
Dólar Neozelandês,2.99,26/03/2024,20:17:22
Coroa Dinamarquesa,0.72,26/03/2024,20:17:27
Dólar Taiuanês,0.16,26/03/2024,20:17:33
Dogecoin,0.91,26/03/2024,20:17:39
Dogecoin,0.91,26/03/2024,20:17:45
Peso Colombiano,0.00,26/03/2024,20:17:51
Peso Mexicano,0.30,26/03/2024,20:17:57
Yuan Chinês,0.69,26/03/2024,20:18:03
Dólar Canadense,3.66,26/03/2024,20:18:09
Dólar Taiuanês,0.16,26/03/2024,20:18:15
Dólar de Cingapura,3.70,26/03/2024,20:18:20
Bitcoin,351551.00,26/03/2024,20:18:27
Boliviano,0.72,26/03/2024,20:18:34
Dólar Australiano,3.25,26/03/2024,20:18:40
Guarani Paraguaio,0.00,26/03/2024,20:18:45
Dólar Australiano,3.25,26/03/2024,20:18:51
Ethereum,18042.48,26/03/2024,20:18:57
Dogecoin,0.91,26/03/2024,20:19:03
Libra Esterlina,6.28,26/03/2024,20:19:09
Boliviano,0.72,26/03/2024,20:19:14
Novo Shekel Israelense,1.36,26/03/2024,20:19:20
Coroa Sueca,0.47,26/03/2024,20:19:26
XRP,3.17,26/03/2024,20:19:33
Nova Lira Turca,0.15,26/03/2024,20:19:39
Dirham dos Emirados,1.36,26/03/2024,20:19:46
Guarani Paraguaio,0.00,26/03/2024,20:19:51
Dirham dos Emirados,1.36,26/03/2024,20:19:57
Litecoin,475.22,26/03/2024,20:20:03
Dogecoin,0.91,26/03/2024,20:20:09
Guarani Paraguaio,0.00,26/03/2024,20:20:15
Franco Suíço,5.51,26/03/2024,20:20:21
Coroa Dinamarquesa,0.72,26/03/2024,20:20:28
Euro,5.39,26/03/2024,20:20:35
Franco Suíço,5.51,26/03/2024,20:20:40
Dirham dos Emirados,1.36,26/03/2024,20:20:46
Peso Mexicano,0.30,26/03/2024,20:20:52
Rand Sul-Africano,0.26,26/03/2024,20:20:58
Franco Suíço,5.51,26/03/2024,20:21:05
XRP,3.17,26/03/2024,20:21:11
Peso Argentino,0.01,26/03/2024,20:21:17
Dólar Neozelandês,2.99,26/03/2024,20:21:23
Dólar Taiuanês,0.16,26/03/2024,20:21:28
Riyal Saudita,1.33,26/03/2024,20:21:34
Dólar Neozelandês,2.99,26/03/2024,20:21:40
Peso Uruguaio,0.13,26/03/2024,20:21:46
Peso Chileno,0.01,26/03/2024,20:21:52
Dogecoin,0.91,26/03/2024,20:22:01
Peso Argentino,0.01,26/03/2024,20:22:07
Dólar de Cingapura,3.70,26/03/2024,20:22:13
Dólar de Hong Kong,0.64,26/03/2024,20:22:18
Peso Mexicano,0.30,26/03/2024,20:22:24
Dólar de Hong Kong,0.64,26/03/2024,20:22:30
Rublo Russo,0.05,26/03/2024,20:22:37
Rúpia Indiana,0.06,26/03/2024,20:22:43
Peso Colombiano,0.00,26/03/2024,20:22:49
Peso Argentino,0.01,26/03/2024,20:22:54
Coroa Dinamarquesa,0.72,26/03/2024,20:23:00
Dólar Taiuanês,0.16,26/03/2024,20:23:06
Franco Suíço,5.51,26/03/2024,20:23:12
Litecoin,475.22,26/03/2024,20:23:18
Yuan Chinês,0.69,26/03/2024,20:23:24
Peso Colombiano,0.00,26/03/2024,20:23:30
Rúpia Indiana,0.06,26/03/2024,20:23:35
Zlóti Polonês,1.25,26/03/2024,20:23:41
Dogecoin,0.91,26/03/2024,20:23:47
Riyal Saudita,1.33,26/03/2024,20:23:53
Zlóti Polonês,1.25,26/03/2024,20:23:59
Dólar de Hong Kong,0.64,26/03/2024,20:24:05
Yuan Chinês,0.69,26/03/2024,20:24:11
Dogecoin,0.91,26/03/2024,20:24:17
Rublo Russo,0.05,26/03/2024,20:24:23
Riyal Saudita,1.33,26/03/2024,20:24:28
Coroa Norueguesa,0.46,26/03/2024,20:24:34
Sol do Peru,1.34,26/03/2024,20:24:40
Litecoin,475.22,26/03/2024,20:24:46
Rand Sul-Africano,0.26,26/03/2024,20:24:52
Dólar Canadense,3.66,26/03/2024,20:24:58
Ethereum,18014.85,26/03/2024,20:25:04
Peso Argentino,0.01,26/03/2024,20:25:10
Dólar de Cingapura,3.70,26/03/2024,20:25:16
Peso Uruguaio,0.13,26/03/2024,20:25:22
Peso Mexicano,0.30,26/03/2024,20:25:28
Peso Uruguaio,0.13,26/03/2024,20:25:33
Riyal Saudita,1.33,26/03/2024,20:25:39
Rublo Russo,0.05,26/03/2024,20:25:45
Franco Suíço,5.51,26/03/2024,20:25:51
Nova Lira Turca,0.15,26/03/2024,20:25:57
Dólar Americano,4.98,26/03/2024,20:26:03
Litecoin,475.22,26/03/2024,20:26:09
Sol do Peru,1.34,26/03/2024,20:26:14
Rublo Russo,0.05,26/03/2024,20:26:20
Bolívar Venezuelano,0.14,26/03/2024,20:26:26
Dólar Australiano,3.25,26/03/2024,20:26:32
Rand Sul-Africano,0.26,26/03/2024,20:26:39
Rublo Russo,0.05,26/03/2024,20:26:45
Rúpia Indiana,0.06,26/03/2024,20:26:51
Coroa Dinamarquesa,0.72,26/03/2024,20:26:57
Dólar Neozelandês,2.99,26/03/2024,20:27:03
Dirham dos Emirados,1.36,26/03/2024,20:27:09
Sol do Peru,1.34,26/03/2024,20:27:15
Guarani Paraguaio,0.00,26/03/2024,20:27:21
Dólar de Hong Kong,0.64,26/03/2024,20:27:27
Franco Suíço,5.51,26/03/2024,20:27:33
Guarani Paraguaio,0.00,26/03/2024,20:27:39
Novo Shekel Israelense,1.36,26/03/2024,20:27:45
Dirham dos Emirados,1.36,26/03/2024,20:27:51
Dólar de Hong Kong,0.64,26/03/2024,20:27:56
XRP,3.17,26/03/2024,20:28:02
Libra Esterlina,6.28,26/03/2024,20:28:09
Dogecoin,0.90,26/03/2024,20:28:15
Zlóti Polonês,1.25,26/03/2024,20:28:21
Sol do Peru,1.34,26/03/2024,20:28:26
Rublo Russo,0.05,26/03/2024,20:28:32
Libra Esterlina,6.28,26/03/2024,20:28:38
Peso Argentino,0.01,26/03/2024,20:28:44
Bitcoin,351241.00,26/03/2024,20:28:50
Dólar Americano,4.98,26/03/2024,20:28:56
Dólar de Hong Kong,0.64,26/03/2024,20:29:02
Dólar Canadense,3.66,26/03/2024,20:29:08
Rand Sul-Africano,0.26,26/03/2024,20:29:14
Yuan Chinês,0.69,26/03/2024,20:29:20
Boliviano,0.72,26/03/2024,20:29:26
Bitcoin,351241.00,26/03/2024,20:29:32
Bitcoin,351241.00,26/03/2024,20:29:38
Rublo Russo,0.05,26/03/2024,20:29:44
Coroa Dinamarquesa,0.72,26/03/2024,20:29:50
Riyal Saudita,1.33,26/03/2024,20:29:55
Baht Tailandês,0.14,26/03/2024,20:30:01
Coroa Norueguesa,0.46,26/03/2024,20:30:08
Peso Colombiano,0.00,26/03/2024,20:30:14
Rand Sul-Africano,0.26,26/03/2024,20:30:19
Rublo Russo,0.05,26/03/2024,20:30:25
Peso Mexicano,0.30,26/03/2024,20:30:31
Iene Japonês,0.03,26/03/2024,20:30:37
Iene Japonês,0.03,26/03/2024,20:30:43
Bolívar Venezuelano,0.14,26/03/2024,20:30:49
Rublo Russo,0.05,26/03/2024,20:30:55
Dólar Canadense,3.66,26/03/2024,20:31:01
Baht Tailandês,0.14,26/03/2024,20:31:06
Zlóti Polonês,1.25,26/03/2024,20:31:12
Yuan Chinês,0.69,26/03/2024,20:31:18
Libra Esterlina,6.28,26/03/2024,20:31:24
Dogecoin,0.90,26/03/2024,20:31:30
Peso Argentino,0.01,26/03/2024,20:31:36
Dólar de Hong Kong,0.64,26/03/2024,20:31:41
Baht Tailandês,0.14,26/03/2024,20:31:47
Novo Shekel Israelense,1.36,26/03/2024,20:31:53
Dirham dos Emirados,1.36,26/03/2024,20:31:59
Yuan Chinês,0.69,26/03/2024,20:32:05
Peso Chileno,0.01,26/03/2024,20:32:10
Rand Sul-Africano,0.26,26/03/2024,20:32:16
Dólar Americano,4.98,26/03/2024,20:32:22
Iene Japonês,0.03,26/03/2024,20:32:28
Dólar Neozelandês,2.99,26/03/2024,20:32:33
Euro,5.39,26/03/2024,20:32:39
Dólar Canadense,3.66,26/03/2024,20:32:45
XRP,3.17,26/03/2024,20:32:51
XRP,3.17,26/03/2024,20:32:56
Bitcoin,351241.00,26/03/2024,20:33:02
Coroa Norueguesa,0.46,26/03/2024,20:33:08
Peso Mexicano,0.30,26/03/2024,20:33:14
Rand Sul-Africano,0.26,26/03/2024,20:33:20
Peso Colombiano,0.00,26/03/2024,20:33:26
Dólar de Hong Kong,0.64,26/03/2024,20:33:32
Dólar de Cingapura,3.70,26/03/2024,20:33:38
Baht Tailandês,0.14,26/03/2024,20:33:44
Novo Shekel Israelense,1.36,26/03/2024,20:33:50
Dólar Americano,4.98,26/03/2024,20:33:56
Ethereum,17975.33,26/03/2024,20:34:02
Dólar Australiano,3.25,26/03/2024,20:34:08
Bitcoin,351000.00,26/03/2024,20:34:13
Boliviano,0.72,26/03/2024,20:34:19
Guarani Paraguaio,0.00,26/03/2024,20:34:25
Peso Uruguaio,0.13,26/03/2024,20:34:31
Rúpia Indiana,0.06,26/03/2024,20:34:36
Novo Shekel Israelense,1.36,26/03/2024,20:34:42
Rúpia Indiana,0.06,26/03/2024,20:34:48
Franco Suíço,5.51,26/03/2024,20:34:53
Dólar Canadense,3.66,26/03/2024,20:34:59
Dogecoin,0.90,26/03/2024,20:35:05
XRP,3.17,26/03/2024,20:35:11
Dirham dos Emirados,1.36,26/03/2024,20:35:17
Coroa Dinamarquesa,0.72,26/03/2024,20:35:23
Novo Shekel Israelense,1.36,26/03/2024,20:35:29
Dogecoin,0.90,26/03/2024,20:35:35
Peso Mexicano,0.30,26/03/2024,20:35:42
Rublo Russo,0.05,26/03/2024,20:35:49
Peso Colombiano,0.00,26/03/2024,20:35:55
Dólar Taiuanês,0.16,26/03/2024,20:36:02
Nova Lira Turca,0.15,26/03/2024,20:36:08
Dólar Americano,4.98,26/03/2024,20:36:15
Guarani Paraguaio,0.00,26/03/2024,20:36:21
Peso Colombiano,0.00,26/03/2024,20:36:27
Libra Esterlina,6.28,26/03/2024,20:36:33
Libra Esterlina,6.28,26/03/2024,20:36:40
Dólar Canadense,3.66,26/03/2024,20:36:46
Boliviano,0.72,26/03/2024,20:36:52
Nova Lira Turca,0.15,26/03/2024,20:36:58
Riyal Saudita,1.33,26/03/2024,20:37:04
Dólar Taiuanês,0.16,26/03/2024,20:37:10
Baht Tailandês,0.14,26/03/2024,20:37:16
Coroa Dinamarquesa,0.72,26/03/2024,20:37:23
Bolívar Venezuelano,0.14,26/03/2024,20:37:29
Zlóti Polonês,1.25,26/03/2024,20:37:35
Dólar de Hong Kong,0.64,26/03/2024,20:37:41
XRP,3.17,26/03/2024,20:37:48
Euro,5.39,26/03/2024,20:37:54
Dólar de Hong Kong,0.64,26/03/2024,20:38:00
Novo Shekel Israelense,1.36,26/03/2024,20:38:06
Dogecoin,0.90,26/03/2024,20:38:12
Dólar Taiuanês,0.16,26/03/2024,20:38:17
XRP,3.17,26/03/2024,20:38:23
Peso Colombiano,0.00,26/03/2024,20:38:29
Dirham dos Emirados,1.36,26/03/2024,20:38:36
Baht Tailandês,0.14,26/03/2024,20:38:42
Dólar Canadense,3.66,26/03/2024,20:38:48
Coroa Norueguesa,0.46,26/03/2024,20:38:54
XRP,3.17,26/03/2024,20:39:00
Rublo Russo,0.05,26/03/2024,20:39:07
Libra Esterlina,6.28,26/03/2024,20:39:13
Bitcoin,350808.00,26/03/2024,20:39:19
Iene Japonês,0.03,26/03/2024,20:39:25
Coroa Norueguesa,0.46,26/03/2024,20:39:31
Dólar Americano,4.98,26/03/2024,20:39:37
Dólar de Cingapura,3.70,26/03/2024,20:39:43
Peso Argentino,0.01,26/03/2024,20:39:50
Dirham dos Emirados,1.36,26/03/2024,20:39:56
